00.01.Navigations,,List of Knowledge Contributions – KNIFES,,,,,,,,,,,,,,,,,Stlpce pre automaticke generovanie md súborov,,
id,Category,title,Status,Type,Priority,Author,Description,created,"Context, Origin, Why it was initiated?",Technology,SFIA – Level,SFIA – Domain (?),SFIA – Maturity,Related KNIFE,Tags,Potential Outputs,Owner,Comment,FolderName,SidebarLabel,LinkSlug
K000072,Methodology,"APV-Assets-Perspectives-Views, Keep Your Aseests in Order",ongoing,Metodika,medium,Roman Kazicka,"Metodika na podporu manažmentu aktív v rámci SDLC. 
TAXONÓMIA, ONTOLÓGIA aktív a ich vzťahiv z pohľadu rôznych rolí, aby platilo 3RS- Right – Information-For Right Role- In Right Time",05.09.2025,"Na tejto metodike pracujem minimálne od roku 2008. 8 Rokov som ju verifikoval v VW Bratislava na cca 50000 evidovaných aktívach IT. Je to nová veľá téma, bez ktorej IT nemôže napredovať,",,LEVEL 6- expert,Enterprise architecture,Expert,,,,,,,,
K000073,Methodology,Q12- Twelve quadrants for starting business,ongoing,Metodika,medium,Roman Kazicka,"Metodika zameraná na 12 kvadrantov, ktoré je minimálne potrebné zohľadniť pri budovaní nového biznisu. Vhodné najmä pre startupy, ale aj pre každého jednotlivca, ktorý by chcel rozbehnúť vlastné podnikanie. ",05.09.2025,"Túto metodiku som vypracoval pred 10 rokmi. Sám sa ňou nechávam inšpirovať, ale nie som dosť dôsledný. Plánujem to zmeniť. A aj keď nevyplňam jednotlivé kapitoly do nejakého systému, niekde v podvedmí sa riadim základnými princípmi.",,Level 5 – Ensure / Advise,Biznis development,Beginner,,,,,,,,
K000074,Methodology,SDLC-Solution Development Life Cycle,ongoing,Metodika,medium,Roman Kazicka,"Táto metodika vychádza z univerzálneho V – modelu. Podporuje princíly vuizuálneho manažmentu v rámci celého ťivotného cyklu riešení. To záhŕňa desiatky rolí a stovky rolí v rátane zákazníka, dodávateľa, subdodávateľov, a podnikateľského prostredia, regulátorov, zákonov, politickej situácie",05.09.2025,"Od začiatku svojej profesionálnej kariéry vychádzam z V modelu a jeho princípov. Nie vždy dodržujem princípy, z rôznych dôvodov, ale pomáha mi to pochopiť kontext celého riešenia",,Level 3 – Apply → samostatná práca,Solution Development,Beginner,,,,,,,,
K000075,Methodology,Lean canvas,done md,Metodika,medium,Roman Kazicka,Implemetácia Lean canvas do celkového frameworku pre podporu vytvárania riešení. Patrí ku metodike Q12,05.08.2025,"Každé riešenie si zaslúži analýzu z pohľadu jednoduchého biznis plánu. Pokiaľ nemám aspoň koncept bisnis plánu, aké je šanca na úsešnú realizáciu projektu?",,Level 3 – Apply → samostatná práca ,Bisnis development,Beginner,,,,,,,,
K000076,Methodology,"CAA- Context Aware Approach, CASY-Context Aware Systems, CASo-Context Aware Solution",ongoing,Metodika na Solution development,medium,Roman Kazicka,"Neexistuje situácia, kedy môžeme ignorovať kontext. Neznalosť tohto princípu vedie k obrovským nepochopeniam, chybám, manipuláciam, sporom. Úplne zbytočne. Ak sa na začiatku ujasní kontext, tak okamžite sa dostavuje porozumenie a nastáva konštruktívny prístup.
Tam kde sa precuje s manipáciami, je takmer isté, že ss vedome , ale aj neveome menia kontexty. Hovorí sa „Ja o koze a ty o voze“ , ale každý si myslí, že má pravdu, že ten druhý je blbec. A to nehovorím o politickej manipulácii zámerného podsúvania iných kontextov bez objasnenia kontextov. ",05.09.2025,"Na každom kroku  sa stretávam s nepochopením tohto  základného princípu. Ujasnime si naše kontexty a potom sa rozprávajme.
Ak to takto pomenujeme, okamžite odhalíme vedomé manipulácie, prípadne znížime nevedomé nedorozumenia.
 Napríklad diskusia „Čo je lepšie Apple alebo windows“,
BMW alebo DACIA?
Bentley alebo MAIBACH?
Ak si ujasníme kontext, aké kritéria, v akej situáci je ktoré riešenie lepšie, prestáva byť priestor na spor, a vytvára sa konštrukívna atmosf=éra na riešenia kéhokoľvek problému, v malom, aj vo veľkom.
",,LEVEL 6- expert,"Relationship development
Trust development",High awareness,,,,,,,,
K000077,Methodology,KNIFE047 – 7S Cycle of Meaningful Knowledge,ongoing,Metodika na hodnotvý markerting – PULL marketing,medium,Roman Kazicka,"Moderné technológie umožňujú využívať a zneužívať rôzne techniky marketingu. Čo si zvolíme PUSH, alebo PULL prístup. Táto metodika je zameraná na PULL marketing. 
Rešpekt slobodn=ho rozhodovania bez akéhokoľvek nátlaku (napr. časovo limitované zľavy)
Marketing budovaný na základe dôvery a spoločných hodnôt",05.09.2025,"Nemám rád nátlakový marketing. Snažím sa budovať osobnú značku, dobrú reputáciu, dôveru bez nátlaku, na základu kvaluty a rešpektu.",,LEVEL 2,"Relationship development
Trust development",High awareness,,,,,,,,
K000078,Implementácia,Language as a Bridge (AI ako most medzi jazykmi),ongoing,"Implementácia, nástroje, Procesy",medium,Roman Kazicka,"Language as a Bridge → implementácia, nástroje, procesy (ako).",05.09.2025,"Typ: Praktický návod / Metodika
	•	Status: Draft
	•	Obsah:
	1.	Stručný recap LaaS (odkaz na K000055).
	2.	Ako AI umožňuje mosty medzi jazykmi.
	3.	GitHub CI/CD príklady (preklady Markdown súborov).
	4.	LinkedIn posty – autenticita v materinskom jazyku vs. preklad pre globálne publikum.
	5.	Dopady pre študentov (písať autenticky, AI sa postará o zvyšok).
	•	Motto:
„Jazyk nemusí byť bariérou. AI stavia mosty, aby sme mohli každý rásť na vlastnej pôde.“",,LEVEL 6- expert,Solution Development,Expert,"055 – KNIFE_LaaS → fundament, hodnoty, filozofia (prečo a čo).",,,,,,,
K000079,Glossary,Čo znamená slovo že je niečo idempotentné?,now,Vysvetlenie pojmu,medium,Roman Kazička,Dosť často sa začalo používať slovo idempotentná operácia. Ako to ale vzniklo? Prečo to vzniklo?,15.09.2029,"Pri príprave štruktúry adresárov pre repozitár ročníka publik sme prišli ku skriptu, ktorý nazval AI idempotentný skript. Požiadal som o vysvetlenie aj s históriou slova",,,,,,,,,,,,
K000080,Explanation,Docusaurus-vs-github-pages-package-json,now,Docusaurus vs. GitHub Pages. Architektúra,medium,Roman Kazička,Ako vytvoriť OS agnostcké prostredie pre KNIFE? Poznanie architektúry odpovie na otázku jednotného systému pre vývoj KNIFES,17.09.2025,"Počas prípravyi ekosystému pre windows, vznikla potreba aká je architektúra GitHub a Docusaurus a ako to urobiť univerzálne","GitHub, React, Docusaurus",,,,,,,,,,,
K000081,Infrastructure,Transparentná -Stabilná infraštruktúra pre Sites,idea,Návod na riešenie,hi,Roman Kazička,"Počas práce s GitHub a Pages je potrebné mať zladené prostredie na klientovi a na serveri. Lokál je závislý od OS, od verzí vývojových nástrojov. Ideálne by bolo, keby existovalo stabilné, opakovateľné prostredie pre vytvorenie lokálneho prostredia, bez ohľadu na operačný systém na klientovi – Windows, Mac, Linux.",25.09.2025,"Keby som mal vlasy, boli by ako sned na horách. Keby som sa nerozhodol pre Sites, tedz Web prístup ku svojmu obsahu, ušetril by som množstvo času. Ale stratil by som základnú hodnotu- Jednoduchý Web prístup k tomuto obsahu.","GitHUb, React, Docusaurus, Windows, Mac, Linux",LEVEL -6-Expert,Architecture,Expert,,,,,,,,
K000082,UserGuide pre Markdown,Ako urobiť text v MD atraktívnejší (emoji),done md,Návod na riešenia,low,Roman Kazička,Čítanie s porozumením je veľmi náročná disciplína. Preto je dôležité priblížiť text ku príbehu pomocou malých obrázkov. Dobrý kandif’dát je EMOJI,25.09.2025,"Pri písaní KNIFE človek potrebuje písať rýchlo, lebo KNIFE nie je jeho primárny cieľ. Každá pomôcka  je cenná, šetrí čas.",Markdown,beginer,Documentation,,,,,,,,,
K000083,UserGuide,Aktualizácia komponentov pre Docusaurus,done md,Návod na riešenie,low,Roman Kazička,"Všetko má životný cyklus. Naše dokumenty, ale aj systémy a nástroje, ktoré používame. Preto nikdy nemáme stabilné, nemenné prostredie. Tak Aj docusaurus sa stále mní a vznikajú závislosti a človek sa môže zblázniť a rieši infraštruktúru a nie to čo potrebuje riešiť.",25.09.2025,"Keď si už myslíš, že si dokončil svoju pácu a chceš ísť spať, commitneš poslednú zmenu, otestovanú na lokáli a pusnesh to na server, už sa tešíš do postele, ale preds apo očku pozrieť na server či ti to builduje…. Červená ikona ťa vyvedie z omylu…. A začínaš nočnú. Nie v posteli ale za klávesnicou…","Development, Maintenance",L1-L8 everybody,Maintenence,,,,,,,,,
K000084,UserGuide,Ako aktivovať na GitHube EDU benefity,in progress,Návod na riešenie,low,Roman Kazička,"Pokiaľ  spĺňa používateľ kritériá GitHub, môže dostať pre seba pre svoj profil status člena EDU organizácie. Má to viaceroo výhod ako Sites pre privátne repositáre, čo by stálo 3€/mesiac. Detailnejšie v inom Knife. V tomto príspevku je samotná aktivácia týchto benefitov",26.09.2025,,,,,,,,,,,,,
RKA_K000099,Testy,Testovací knife,,,,,Tento riadok slúži na overenie funkčnosti generátora,27.09.2025,len tak,,,,,,,,,,,,
